701111,"Flour, white, all purpose, per lb. (453.6 gm)"
  701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)"
  702111,"Bread, white, pan, per lb. (453.6 gm)"
  702212,"Bread, whole wheat, pan, per lb. (453.6 gm)"
  703111,"Ground chuck, 100% beef, per lb. (453.6 gm)"
  703112,"Ground beef, 100% beef, per lb. (453.6 gm)"
  703113,"Ground beef, lean and extra lean, per lb. (453.6 gm)"
  703212,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)"
  703512,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)"
  704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)"
  704321,"Ham, canned, 3 or 5 lbs, per lb. (453.6 gm)"
  706111,"Chicken, fresh, whole, per lb. (453.6 gm)"
  706211,"Chicken breast, bone-in, per lb. (453.6 gm)"
  706212,"Chicken legs, bone-in, per lb. (453.6 gm)"
  706311,"Turkey, frozen, whole, per lb. (453.6 gm)"
  708111,"Eggs, grade A, large, per doz."
  709111,"Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit)"
  709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)"
  709211,"Milk, fresh, skim (cost per one-half gallon/1.9 liters)"
  709212,"Milk, fresh, low fat, per 1/2 gal. (1.9 lit)"
  709213,"Milk, fresh, low fat, per gal. (3.8 lit)"
  710111,"Butter, salted, grade AA, stick, per lb. (453.6 gm)"
  710122,"Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm)"
  710211,"American processed cheese, per lb. (453.6 gm)"
  710212,"Cheddar cheese, natural, per lb. (453.6 gm)"
  711111,"Apples, Red Delicious, per lb. (453.6 gm)"
  711211,"Bananas, per lb. (453.6 gm)"
  711311,"Oranges, Navel, per lb. (453.6 gm)"
  711312,"Oranges, Valencia, per lb. (453.6 gm)"
  711411,"Grapefruit, per lb. (453.6 gm)"
  711412,"Lemons, per lb. (453.6 gm)"
  711413,"Pears, Anjou, per lb. (453.6 gm)"
  711414,"Peaches, per lb. (453.6 gm)"
  711415,"Strawberries, dry pint, per 12 oz. (340.2 gm)"
  711416,"Grapes, Emperor or Tokay (cost per pound/453.6 grams)"
  711417,"Grapes, Thompson Seedless, per lb. (453.6 gm)"
  711418,"Cherries, per lb. (453.6 gm)"
  712111,"Potatoes, white (cost per pound/453.6 grams)"
  712112,"Potatoes, white, per lb. (453.6 gm)"
  712211,"Lettuce, iceberg, per lb. (453.6 gm)"
  712311,"Tomatoes, field grown, per lb. (453.6 gm)"
  712401,"Cabbage, per lb. (453.6 gm)"
  712402,"Celery, per lb. (453.6 gm)"
  712403,"Carrots, short trimmed and topped, per lb. (453.6 gm)"
  712404,"Onions, dry yellow, per lb. (453.6 gm)"
  712405,"Onions, green scallions (cost per pound/453.6 grams)"
  712406,"Peppers, sweet, per lb. (453.6 gm)"
  712407,"Corn on the cob, per lb. (453.6 gm)"
  712408,"Radishes (cost per pound/453.6 grams)"
  712409,"Cucumbers, per lb. (453.6 gm)"
  712410,"Beans, green, snap (cost per pound/453.6 grams)"
  712411,"Mushrooms (cost per pound/453.6 grams)"
  712412,"Broccoli, per lb. (453.6 gm)"
  713111,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)"
  713311,"Apple Sauce, any variety, all sizes, per lb. (453.6 gm)"
  713312,"Peaches, any variety, all sizes, per lb. (453.6 gm)"
  714111,"Potatoes, frozen, French fried, per lb. (453.6 gm)"
  714221,"Corn, canned, any style, all sizes, per lb. (453.6 gm)"
  714231,"Tomatoes, canned, whole, per lb. (453.6 gm)"
  714232,"Tomatoes, canned, any type, all sizes, per lb. (453.6 gm)"
  714233,"Beans, dried, any type, all sizes, per lb. (453.6 gm)"
  715211,"Sugar, white, all sizes, per lb. (453.6 gm)"
  715311,"Jelly (cost per pound/453.6 grams)"
  716111,"Margarine, vegetable oil blends, stick (cost per pound/453.6 grams)"
  716113,"Margarine, vegetable oil blends, soft, tubs (cost per pound/453.6 grams)"
  716114,"Margarine, stick, per lb. (453.6 gm)"
  716116,"Margarine, soft, tubs, per lb. (453.6 gm)"
  716121,"Shortening, vegetable oil blends, per lb. (453.6 gm)"
  716141,"Peanut butter, creamy, all sizes, per lb. (453.6 gm)"
  717113,"Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml)"
  717114,"Cola, nondiet, per 2 liters (67.6 oz)"
  717311,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)"
  718311,"Potato chips, per 16 oz."
  718631,"Pork and beans, canned (cost per 16 ounces/453.6 grams)"
  FC1101,"All uncooked ground beef, per lb. (453.6 gm)"
  FC2101,"All Uncooked Beef Roasts, per lb. (453.6 gm)"
  FC3101,"All Uncooked Beef Steaks, per lb. (453.6 gm)"
  FC4101,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)"
  FD2101,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)"
  FD3101,"All Pork Chops, per lb. (453.6 gm)"
  FD4101,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)"
  FF1101,"Chicken breast, boneless, per lb. (453.6 gm)"
